PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,0,3,16.0,0,22.0,1,0,A/5 21171,7.25,,34
2,1,1,79.0,1,38.0,1,0,PC 17599,71.2833,59.0,55
3,1,3,70.0,1,26.0,0,0,STON/O2. 3101282,7.925,,34
4,1,1,79.0,1,35.0,1,0,113803,53.1,59.0,34
5,0,3,16.0,0,35.0,0,0,373450,8.05,,34
6,0,3,16.0,0,,0,0,330877,8.4583,,39
7,0,1,16.0,0,54.0,0,0,17463,51.8625,75.0,34
8,0,3,58.0,0,2.0,3,1,349909,21.075,,34
9,1,3,79.0,1,27.0,0,2,347742,11.1333,,34
10,1,2,79.0,1,14.0,1,0,237736,30.0708,,55
11,1,3,70.0,1,4.0,1,1,PP 9549,16.7,50.0,34
12,1,1,70.0,1,58.0,0,0,113783,26.55,59.0,34
13,0,3,16.0,0,20.0,0,0,A/5. 2151,8.05,,34
14,0,3,16.0,0,39.0,1,5,347082,31.275,,34
15,0,3,70.0,1,14.0,0,0,350406,7.8542,,34
16,1,2,79.0,1,55.0,0,0,248706,16.0,,34
17,0,3,58.0,0,2.0,4,1,382652,29.125,,39
18,1,2,16.0,0,,0,0,244373,13.0,,34
19,0,3,79.0,1,31.0,1,0,345763,18.0,,34
20,1,3,79.0,1,,0,0,2649,7.225,,55
21,0,2,16.0,0,35.0,0,0,239865,26.0,,34
22,1,2,16.0,0,34.0,0,0,248698,13.0,76.0,34
23,1,3,70.0,1,15.0,0,0,330923,8.0292,,39
24,1,1,16.0,0,28.0,0,0,113788,35.5,47.0,34
25,0,3,70.0,1,8.0,3,1,349909,21.075,,34
26,1,3,79.0,1,38.0,1,5,347077,31.3875,,34
27,0,3,16.0,0,,0,0,2631,7.225,,55
28,0,1,16.0,0,19.0,3,2,19950,263.0,59.0,34
29,1,3,70.0,1,,0,0,330959,7.8792,,39
30,0,3,16.0,0,,0,0,349216,7.8958,,34
31,0,1,,0,40.0,0,0,PC 17601,27.7208,,55
32,1,1,79.0,1,,1,0,PC 17569,146.5208,74.0,55
33,1,3,70.0,1,,0,0,335677,7.75,,39
34,0,2,16.0,0,66.0,0,0,C.A. 24579,10.5,,34
35,0,1,16.0,0,28.0,1,0,PC 17604,82.1708,,55
36,0,1,16.0,0,42.0,1,0,113789,52.0,,34
37,1,3,16.0,0,,0,0,2677,7.2292,,55
38,0,3,16.0,0,21.0,0,0,A./5. 2152,8.05,,34
39,0,3,70.0,1,18.0,2,0,345764,18.0,,34
40,1,3,70.0,1,14.0,1,0,2651,11.2417,,55
41,0,3,79.0,1,40.0,1,0,7546,9.475,,34
42,0,2,79.0,1,27.0,1,0,11668,21.0,,34
43,0,3,16.0,0,,0,0,349253,7.8958,,55
44,1,2,70.0,1,3.0,1,2,SC/Paris 2123,41.5792,,55
45,1,3,70.0,1,19.0,0,0,330958,7.8792,,39
46,0,3,16.0,0,,0,0,S.C./A.4. 23567,8.05,,34
47,0,3,16.0,0,,1,0,370371,15.5,,39
48,1,3,70.0,1,,0,0,14311,7.75,,39
49,0,3,16.0,0,,2,0,2662,21.6792,,55
50,0,3,79.0,1,18.0,1,0,349237,17.8,,34
51,0,3,58.0,0,7.0,4,1,3101295,39.6875,,34
52,0,3,16.0,0,21.0,0,0,A/4. 39886,7.8,,34
53,1,1,79.0,1,49.0,1,0,PC 17572,76.7292,76.0,55
54,1,2,79.0,1,29.0,1,0,2926,26.0,,34
55,0,1,16.0,0,65.0,0,1,113509,61.9792,74.0,55
56,1,1,16.0,0,,0,0,19947,35.5,59.0,34
57,1,2,70.0,1,21.0,0,0,C.A. 31026,10.5,,34
58,0,3,16.0,0,28.5,0,0,2697,7.2292,,55
59,1,2,70.0,1,5.0,1,2,C.A. 34651,27.75,,34
60,0,3,58.0,0,11.0,5,2,CA 2144,46.9,,34
61,0,3,16.0,0,22.0,0,0,2669,7.2292,,55
62,1,1,70.0,1,38.0,0,0,113572,80.0,74.0,
63,0,1,16.0,0,45.0,1,0,36973,83.475,59.0,34
64,0,3,58.0,0,4.0,3,2,347088,27.9,,34
65,0,1,16.0,0,,0,0,PC 17605,27.7208,,55
66,1,3,58.0,0,,1,1,2661,15.2458,,55
67,1,2,79.0,1,29.0,0,0,C.A. 29395,10.5,62.0,34
68,0,3,16.0,0,19.0,0,0,S.P. 3464,8.1583,,34
69,1,3,70.0,1,17.0,4,2,3101281,7.925,,34
