PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked
1,0,3,16,0,22,1,0,7.25,,34
2,1,1,79,1,38,1,0,71.2833,59,55
3,1,3,70,1,26,0,0,7.925,,34
4,1,1,79,1,35,1,0,53.1,59,34
5,0,3,16,0,35,0,0,8.05,,34
6,0,3,16,0,,0,0,8.4583,,39
7,0,1,16,0,54,0,0,51.8625,75,34
8,0,3,58,0,2,3,1,21.075,,34
9,1,3,79,1,27,0,2,11.1333,,34
10,1,2,79,1,14,1,0,30.0708,,55
11,1,3,70,1,4,1,1,16.7,50,34
12,1,1,70,1,58,0,0,26.55,59,34
13,0,3,16,0,20,0,0,8.05,,34
14,0,3,16,0,39,1,5,31.275,,34
15,0,3,70,1,14,0,0,7.8542,,34
16,1,2,79,1,55,0,0,16,,34
17,0,3,58,0,2,4,1,29.125,,39
18,1,2,16,0,,0,0,13,,34
19,0,3,79,1,31,1,0,18,,34
20,1,3,79,1,,0,0,7.225,,55
21,0,2,16,0,35,0,0,26,,34
22,1,2,16,0,34,0,0,13,76,34
23,1,3,70,1,15,0,0,8.0292,,39
24,1,1,16,0,28,0,0,35.5,47,34
25,0,3,70,1,8,3,1,21.075,,34
26,1,3,79,1,38,1,5,31.3875,,34
27,0,3,16,0,,0,0,7.225,,55
28,0,1,16,0,19,3,2,263,59,34
29,1,3,70,1,,0,0,7.8792,,39
30,0,3,16,0,,0,0,7.8958,,34
31,0,1,,0,40,0,0,27.7208,,55
32,1,1,79,1,,1,0,146.5208,74,55
33,1,3,70,1,,0,0,7.75,,39
34,0,2,16,0,66,0,0,10.5,,34
35,0,1,16,0,28,1,0,82.1708,,55
36,0,1,16,0,42,1,0,52,,34
37,1,3,16,0,,0,0,7.2292,,55
38,0,3,16,0,21,0,0,8.05,,34
39,0,3,70,1,18,2,0,18,,34
40,1,3,70,1,14,1,0,11.2417,,55
41,0,3,79,1,40,1,0,9.475,,34
42,0,2,79,1,27,1,0,21,,34
43,0,3,16,0,,0,0,7.8958,,55
44,1,2,70,1,3,1,2,41.5792,,55
45,1,3,70,1,19,0,0,7.8792,,39
46,0,3,16,0,,0,0,8.05,,34
47,0,3,16,0,,1,0,15.5,,39
48,1,3,70,1,,0,0,7.75,,39
49,0,3,16,0,,2,0,21.6792,,55
50,0,3,79,1,18,1,0,17.8,,34
51,0,3,58,0,7,4,1,39.6875,,34
52,0,3,16,0,21,0,0,7.8,,34
53,1,1,79,1,49,1,0,76.7292,76,55
54,1,2,79,1,29,1,0,26,,34
55,0,1,16,0,65,0,1,61.9792,74,55
56,1,1,16,0,,0,0,35.5,59,34
57,1,2,70,1,21,0,0,10.5,,34
58,0,3,16,0,28.5,0,0,7.2292,,55
59,1,2,70,1,5,1,2,27.75,,34
60,0,3,58,0,11,5,2,46.9,,34
61,0,3,16,0,22,0,0,7.2292,,55
62,1,1,70,1,38,0,0,80,74,
63,0,1,16,0,45,1,0,83.475,59,34
64,0,3,58,0,4,3,2,27.9,,34
65,0,1,16,0,,0,0,27.7208,,55
66,1,3,58,0,,1,1,15.2458,,55
67,1,2,79,1,29,0,0,10.5,62,34
68,0,3,16,0,19,0,0,8.1583,,34
69,1,3,70,1,17,4,2,7.925,,34
70,0,3,16,0,26,2,0,8.6625,,34
71,0,2,16,0,32,0,0,10.5,,34
72,0,3,70,1,16,5,2,46.9,,34
73,0,2,16,0,21,0,0,73.5,,34
74,0,3,16,0,26,1,0,14.4542,,55
75,1,3,16,0,32,0,0,56.4958,,34
76,0,3,16,0,25,0,0,7.65,62,34
77,0,3,16,0,,0,0,7.8958,,34
78,0,3,16,0,,0,0,8.05,,34
79,1,2,58,0,0.83,0,2,29,,34
80,1,3,70,1,30,0,0,12.475,,34
81,0,3,16,0,22,0,0,9,,34
82,1,3,16,0,29,0,0,9.5,,34
83,1,3,70,1,,0,0,7.7875,,39
84,0,1,16,0,28,0,0,47.1,,34
85,1,2,70,1,17,0,0,10.5,,34
86,1,3,79,1,33,3,0,15.85,,34
87,0,3,16,0,16,1,3,34.375,,34
88,0,3,16,0,,0,0,8.05,,34
89,1,1,70,1,23,3,2,263,59,34
90,0,3,16,0,24,0,0,8.05,,34
91,0,3,16,0,29,0,0,8.05,,34
92,0,3,16,0,20,0,0,7.8542,,34
93,0,1,16,0,46,1,0,61.175,75,34
94,0,3,16,0,26,1,2,20.575,,34
95,0,3,16,0,59,0,0,7.25,,34
96,0,3,16,0,,0,0,8.05,,34
